# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
格		gé	check, pattern, standard; 格外 géwài especially  [gē] [luò] [hè]
精		jīng	perfect; 精神 spirit, essence; 酒精 alcohol  [qíng] [jìng]
似		sì	similar; 似乎 sìhu it seems   [shì] 似的 shìde alike
失		shī	lose; 失败 shībài be defeated  [yì]
拉		lā	pull, drag, haul  [lǎ] 半拉 bànlǎ half  [lá] slit [là] [lè] [la]
息		xī	breath; stop  [xi] 消息 xiāoxi news; 休息 xiūxi rest
死		sǐ	die, death
怎		zěn	(怎么 zěnme) how
料		liào	(材料 cáiliào) material; expect, anticipate; 资料 data  [liáo]
房		fáng	(房间 fángjiān) room; (房子 fángzi) building  [páng]
易		yì	(容易 róngyì) easy; change; 易经 Book of Changes
曾		céng	(曾经 céngjīng) in the past  [zēng] great- (grandmother)
始		shǐ	(开始 kāishǐ) begin, start; 始终 shǐzhōng all along
需		xū	(需要 xūyào) need; ䷄; 必需 bìxū essential  [nuò] [rú] [ruǎn]
轻	輕	qīng	light (cf 重 heavy)
专	專	zhuān	(专门) special; (专家) expert; 专政 dictatorship
委		wěi	委员会 committee; 委托 entrust    [wēi] 虚与委蛇  [wèi]
找		zhǎo	look for, seek  [huá]
厂	廠	chǎng	(工厂 gōngchǎng) factory  [hǎn] radical 27  [yán] [ān]
响	響	xiǎng	sound; 影响 yǐngxiǎng influence
夫		fū	man; 丈夫 husband; 工夫 skill; 大夫 dàifu doctor  [fú]
校		xiào	(学校 xuéxiào) school  [jiào] (校对,校正) proofread  [jiǎo] [qiāo]
参	參	cān	参加 participate  [shēn] 人参 ginseng  [cēn] 参差  [sān] (=叁)
黑		hēi	(黑色 hēisè) black; 黑暗 hēi'àn dark
母		mǔ	(母亲 mǔqin) mother; 父母 fùmǔ parents; 字母 ABC  [mú] [wǔ] [wú]
火		huǒ	fire; 火车 train; 火柴 match; 火焰 flame  [huō]
志	/誌	zhì	(意志) will; (标志) mark; 同志 comrade; (F誌) 杂志 magazine
备	備	bèi	(准备) get ready, prepare; 设备 equipment
育		yù	raise, educate; 教育 education   [yō] 杭育 heave-ho  [zhòu]
局		jú	department; situation; 邮局 yóujú post office
派		pài	faction; send; 党派 dǎngpài political parties  [pā] 派司  [mài] [bài]
示		shì	(表示 biǎoshì) show, indicate; 指示 point out  [qí] [zhì] [shí]
根		gēn	root; 根本 gēnběn foundation; (not) at all
技		jì	技术 technology, technique; 科技 science & technology  [qí]
亚	亞	yà	inferior, second; 亚洲 Yàzhōu Asia
况	況	kuàng	情况 circumstances; 况且 moreover
首		shǒu	head; 首先 first of all; 首都 capital (of country)
席		xí	mat; seat; banquet; 主席 chairperson
价	價	jià	(价值) value; (价钱) price  [jie] (F價)  [jiè] servant
图	圖	tú	picture; 地图 map; 图书馆 library
严	嚴	yán	severe, stern
买	買	mǎi	buy
支		zhī	branch; support; 支持 zhīchí sustain  [zhì] [qí]
星		xīng	star; 火星 huǒxīng Mars; 星期 xīngqī week
李		lǐ	(李子 lǐzi) plum; (surname)
官		guān	official; 官僚 guānliáo bureaucrat
落		luò	fall  [là] be missing  [lào] 落色 làoshǎi fade  [luō] 空落落
众	眾	zhòng	crowd; many; 群众 the masses; 听众 audience  [yín]
究		jiū	研究 yánjiū study, research; 究竟 after all  [jiù]
随	隨	suí	follow; ䷐ Following; 随便 suíbiàn as you like
病		bìng	sick; 毛病 máobing malfunction
复	/復複覆	fù	(F復) ䷗; 恢复 recover; (F複) 复杂 complex; (F覆) cover
规	規	guī	规律 guīlǜ regular pattern; 规定 guīdìng regulations
兴	興	xìng	高兴 gāoxìng glad  [xīng] 兴奋 xīngfèn excited
黄	黃	huáng	(黄色 huángsè) yellow
族		zú	(民族) people, nationality; (种族) race  [sǒu] [còu] [zòu]
男		nán	(男人 nánrén) man
消		xiāo	disappear; 消息 xiāoxi news; 消灭 xiāomiè perish
苦		kǔ	bitter; 艰苦 jiānkǔ arduous; 痛苦 tòngkǔ suffering  [gǔ] [hù]
费	費	fèi	cost; spend; 学费 tuition
呢		ne	(sentence final particle)  [ní] woolen cloth  [nǐ] [nī]
另		lìng	other; 另外 lìngwài other; besides
足		zú	foot; (足够 zúgòu) enough; 满足 mǎnzú satisfy  [jù]
查		chá	examine, investigate; 检查 inspect  [Zhā] (surname)  [chái]
验	驗	yàn	(经验 jīngyàn) experience
像		xiàng	resemble; (肖像 xiàoxiàng) portrait; image
批		pī	(量) batch, lot, group; slap; 批评 pīpíng criticize  [pí]
低		dī	low; 降低 jiàngdī reduce; 低级 elementary; 高低 height
城		chéng	(城市 chéngshì) city; wall; 长城 chángchéng Great Wall
举	舉	jǔ	raise; 举行 hold (a meeting); 选举 election; 举例
球		qiú	ball; 足球 football (soccer); 地球 the Earth
湾	灣	wān	harbor; 台湾 Táiwān
艺	藝	yì	skill; (艺术 yìshù) art; 文艺 literature and art
须	須鬚	xū	(F須) (必须 bìxū) must; (F鬚) (胡须 húxū) beard
尔	爾	ěr	(archaic:) you; 尔后 thereafter; 高尔夫 golf
欢	歡	huān	(欢乐 huānlè) happy, joyous; 喜欢 like
除		chú	get rid of; divide; (除了 chúle) except  [zhù] [shū]
香		xiāng	perfume; fragrant; 香港 Xiānggǎng Hong Kong
功		gōng	achievement; 成功 chénggōng succeed; 功夫 gōngfu
确	確	què	true; 正确 correct; 确实 indeed; 明确 explicit
增		zēng	(增加 zēngjiā, 增长 zēngzhǎng) increase  [zèng] [céng]
岁	歲	suì	years old; 岁数 age; 万岁 long life
注	註	zhù	pour; (F註) notes; 注意 zhùyì pay attention; 注视 gaze  [zhòu]
客		kè	(客人) guest; 客观 kèguān objective; 客气 kèqi polite  [qià]
食		shí	eat; (食物 shíwù, 食品 shípǐn) food    [sì] feed  [yì]
供		gōng	supply  [gòng] confess
具		jù	工具 tool; 具有 possess; 具体 concrete; 玩具 toy
江		jiāng	river; 长江 Yang-tse; 江山 landscape
油		yóu	oil; 汽油 qìyóu gasoline; 酱油 jiàngyóu soy sauce [yōu] [yòu]
群		qún	crowd, group; 群众 qúnzhòng The Masses
乎		hū	似乎 sìhu it seems; 几乎 jīhū almost
断	斷	duàn	cut off; 不断 búduàn unceasing; 判断 pànduàn judge
存		cún	(存在 cúnzài) exist; 保存 bǎocún preserve
底		dǐ	bottom; 彻底 chèdǐ thorough; 到底 dàodǐ after all  [de]
飞	飛	fēi	fly; 飞机 fēijī airplane
吗	嗎	ma	interrogative particle  [má] [mǎ]
温	溫	wēn	(温暖 wēnnuǎn) warm; 温度 wēndù temperature  [yùn]
份		fèn	(量) portion, share, copy  [bīn]
仅	僅	jǐn	(仅仅 jǐnjǐn) only, barely  [fù] [nú]
仍		réng	(仍然 réngrán, 仍旧 réngjiù) still, yet, as before
愿	願	yuàn	wish
般		bān	sort, kind; 一般 yībān ordinary  [pán] happy  [bō] 般若  [bǎn]
虽	雖	suī	(虽然 suīrán) although
送		sòng	see somebody off; deliver; give
古		gǔ	(古代 gǔdài) ancient  [gù] [kū]
段		duàn	section; paragraph; 手段 means (to an end)
引		yǐn	draw, stretch; (引起 yǐnqǐ) cause; (吸引 xīyǐn) attract
土		tǔ	earth; (土地 tǔdì) land; (土壤 tǔrǎng) soil  [dù] [chǎ] [tú]
续	續	xù	(继续 jìxù) continue; 连续 liánxù continuous
维	維	wéi	纤维 xiānwéi fiber; 维护 safeguard; 思维 think
版		bǎn	printing plate; edition; 出版 publish
案		àn	desk; (law) case; 答案 dá'àn answer or solution to a problem
令		lìng	make, cause; 命令 mìnglìng command  [lǐng] ream  [líng] [lián]
兵		bīng	(士兵 shìbīng) soldier; 兵力 bīnglì military strength
帮	幫	bāng	(帮助, 帮忙) help; gang
刚	剛	gāng	firm; (刚才 gāngcái) just (a moment ago)
势	勢	shì	power; 形势 circumstances; 姿势 posture
律		lǜ	法律 fǎlǜ law; 律师 lawyer; 纪律 discipline; 旋律 melody
吧		ba	at end of sentence, indicates suggestion  [bā] snap!  [pā]
某		mǒu	certain, some; 某人 mǒurén somebody  [méi]
绝	絕	jué	cut off; absolute
医	醫	yī	(医学) medical science; 医生 doctor; 医院 hospital  [yì]
紧	緊	jǐn	tight; 紧张 jǐnzhāng tense; 要紧 yàojǐn important
划	/劃	huá	row (a boat) (F劃) scratch [huà] (F劃) (计划 jìhuà) plan (F畫)  [guò] [guǒ]
希		xī	希望 xīwàng hope; 希奇 xīqí rare, strange
春		chūn	(春天, 春季) spring; 春卷 spring roll; 春夏秋冬  [chǔn]
显	顯	xiǎn	appear; 显然 xiǎnrán obvious
游		yóu	(游泳 yóuyǒng) swim; (旅游 lǚyóu) travel  [liú]
演		yǎn	(表演 biǎoyǎn) perform, act, performance  [yàn]
苏	蘇	sū	苏醒 revive; 苏州 Sūzhōu; 苏联 Sūlián USSR
击	擊	jī	beat
居		jū	(居住 jūzhù) live, reside; 居民 resident; 居然 unexpectedly  [jī]
态	態	tài	form; 态度 tàidu manner; 状态 zhuàngtài state
倒		dǎo	fall down   [dào] backwards; pour; contrary to expectations   [dáo]
站		zhàn	stand; 火车站 train station  [zhān]
例		lì	(例子 lìzi) example; 例如 lìrú for instance  [liè]
喜		xǐ	happiness; 喜欢 xǐhuan like  [xī] [chì]
左		zuǒ	left; 左边 zuǒbiān left side
否		fǒu	no; 是否 whether   [pǐ] ䷋ Standstill
围	圍	wéi	surround; 围棋 wéiqí (Go)
饭	飯	fàn	rice; food
列		liè	column; line up; 列车 lièchē train; 排列 páiliè arrange  [lì]
血		xuè	[xiě] blood
推		tuī	push
故		gù	cause; therefore; 故事 gùshi story; 故意 gùyì on purpose
习	習	xí	练习 practice; 学习 study; 习惯 habit
父		fù	(父亲 fùqin) father; 父母 fùmǔ parents  [fǔ] old man
坐		zuò	sit; 请坐 please have a seat; 坐公共汽车 ride the bus
留		liú	stay; 保留 keep; 遗留 hand down; 拘留 arrest  [liù] [liǔ]
河		hé	river; 河南省 Henan Province; 运河 canal
念		niàn	miss; read aloud; 观念 guānniàn concept; 念书 study
船		chuán	boat, ship; 渡船 dùchuán ferry; 宇宙飞船 spaceship
久		jiǔ	long time
属	屬	shǔ	belong to   [zhǔ] enjoin
排		pái	arrange; row, line     [pǎi] 排子车 handcart  [bài]
护	護	hù	(保护 bǎohù) guard, protect; 护士 hùshi nurse
致	/緻	zhì	send, convey; 一致 yīzhì identical; (F緻) 细致 xìzhì careful  [zhuì]
初		chū	beginning; 初步 chūbù preliminary; 起初 qǐchū at first
跟		gēn	heel; follow; with; and
职	職	zhí	duty; 职工 staff; 职业 zhíyè occupation
双	雙	shuāng	pair, twin, double; 双方 both sides
句		jù	sentence  [gōu] [gòu] [qú]
朋		péng	朋友 péngyǒu friend
妈	媽	mā	mother, mom; 妈妈 māma mama
村		cūn	village; rustic; 农村 nóngcūn countryside
画	畫	huà	draw; picture
够	夠	gòu	enough; 能够 nénggòu be capable of
巴		bā	尾巴 wěiba tail; 嘴巴 zuǐbā mouth; 巴西 Bāxī Brazil  [bà]
助		zhù	(帮助 bāngzhù) help  [chú]
待		dài	treat; entertain; wait for   [dāi] (=呆) stay
乡	鄉	xiāng	countryside; home town
标	標	biāo	mark; 标准 biāozhǔn standard
省		shěng	province; economize; omit  [xǐng] 反省 introspection  [xiǎn]
采	/採埰	cǎi	pick, gather (F採)  [cài] (F埰) 采地 càidì fief
劳	勞	láo	(劳动 láodòng) labor  [lào]
投		tóu	throw; 投票 tóupiào vote  [dòu]
右		yòu	right; 右边 yòubiān right side
阳	陽	yáng	opposite of 阴 yīn ☯; 太阳 tàiyáng the sun
速		sù	fast; 速度 sùdù speed
器		qì	utensil; (机器 jīqì) machine; 武器 wǔqì weapon
压	壓	yā	press; pressure    [yà]
值		zhí	(值得 zhíde) be worth; (价值 jiàzhí) value
考		kǎo	(考虑 kǎolǜ) consider; (考试 kǎoshì) exam
读	讀	dú	read   [dòu] pause in reading
谁	誰	shuí	[shéi] who
层	層	céng	layer, level, storey
票		piào	ticket  [piāo]
纪	紀	jì	世纪 century; 纪念 memento; 纪律 discipline  [Jǐ]
角		jiǎo	horn; corner; dime  [jué] actor, role  [lù] [gǔ]
静	靜	jìng	still, quiet; 静电 static electricity
哪		nǎ	[něi] what; 哪儿 nǎr where   [na] (=啊 a)  [Né] [nuó] [nǎi] [nà] [niè]
洋		yáng	(海洋 hǎiyáng) ocean; 太平洋 Pacific Ocean  [yāng] [xiáng] [yǎng]
创	創	chuàng	创造 chuàngzào create  [chuāng] 创伤 trauma
章		zhāng	chapter; seal, stamp; medal, badge; rules  [zhàng]
云		yún	say; (F雲) (云彩 yúncai) cloud
印		yìn	(印刷 yìnshuā) print; (印章 yìnzhāng) seal  [yì]
停		tíng	(停止 tíngzhǐ) stop; 停车场 parking lot
衣		yī	(衣服 yīfu) clothing  [yì] (书) wear
树	樹	shù	tree; 树林 woods; 树木 trees; 树干 trunk
修		xiū	repair, decorate; 修改 xiūgǎi revise
港		gǎng	harbor; 香港 Xiānggǎng Hong Kong  [hòng]
责	責	zé	duty; 责任 zérèn responsibility
织	織	zhī	weave, knit; 组织 organize; 纺织 spin & weave
简	簡	jiǎn	简单 jiǎndān simple; 简体字 simple form character
质	質	zhì	(物质 wùzhì) matter, substance; 质量 zhìliàng quality; mass
脑	腦	nǎo	(脑子 nǎozi) brain; 脑袋 head; 脑壳 skull
刊		kān	periodical, publication: 报刊 the Press
按		àn	press; (按照 ànzhào) according to; 按摩 ànmó massage
尽		jìn	(F盡) use up  [jǐn] (F儘) to max extent; 尽管 even though
破		pò	smash; 破坏 pòhuài ruin; 破烂 pòlàn worn out
诉	訴	sù	告诉 gàosu tell; 诉讼 sùsòng lawsuit
害		hài	harmful; 害虫 hàichóng destructive insect; 厉害 lìhai fierce  [hé]
枪	槍	qiāng	gun   [chēng] 欃枪 chánchēng comet
卖	賣	mài	sell: 苹果怎么卖? How much are the apples?
室		shì	room; 教室 classroom; 卧室 bedroom; 办公室 office
斗		dǒu	10 liters; 烟斗 pipe; 北斗星 Dipper  [dòu] (F鬥) fight  [zhǔ]
汉	漢	hàn	Chinese ethnicity; 汉语; 汉字; 老汉 old man
波		bō	(波浪 bōlàng) wave; 波长 wavelength  [bēi] [bì]
独	獨	dú	only, alone; 独立 dúlì independent
宣		xuān	(宣布) declare; 宣传 propaganda
米		mǐ	(米饭 mǐfàn) rice; meter; 玉米 yùmǐ corn
甚		shèn	very; 甚至 shènzhì even, go so far as to  [shén] (S什)
刻		kè	carve; quarter hour; moment  [kēi]
微		wēi	tiny, micro; 微笑 wēixiào smile
冲	/沖衝	chōng	(F沖) rinse; rush; (F衝) rush  [chòng] (F衝) towards
闻	聞	wén	smell; hear; 新闻 news
班		bān	class; work; 上班 go to work; 值班 zhíbān be on duty
怕		pà	(害怕 hàipà) to fear; 可怕 kěpà horrible  [bó]
超		chāo	(超过 chāoguò) go past, exceed; (超级 chāojí) super  [chǎo] [chào] [tiào]
项	項	xiàng	(项目 xiàngmù) item
伤	傷	shāng	wound, injury; injure
背		bèi	back  [bēi] carry on the back
呼		hū	shout, exhale; 呼吸 breathe; 欢呼 cheer  [xiāo] [xū] [hè] [xià]
细	細	xì	thin; 仔细 zǐxì careful; 细胞 xìbāo cell; 详细 detailed
止		zhǐ	(停止 tíngzhǐ) stop
哥		gē	(哥哥 gēge) older brother
型		xíng	mould; type; 典型 diǎnxíng typical
突		tū	charge forward; stick out; 突然 tūrán suddenly
答		dá	(回答) answer  [dā] 答应 dāying respond; promise
效		xiào	(效果 xiàoguǒ) effect; 有效 yǒuxiào effective
继	繼	jì	(继续 jìxù) continue; 继承 jìchéng inherit
依		yī	(依靠) depend on; comply with; according to; 依然 still  [yǐ]
胜	勝	shèng	(胜利 shènglì) victory, triumph, win  [xīng] [qìng] [shēng]
评	評	píng	criticize
爷	爺	yé	father; 爷爷 yéye grandpa
块	塊	kuài	piece  [yué]
沉		chén	to sink; 沉重 chénzhòng heavy  [chēn] 黑沉沉 pitch-black
终	終	zhōng	end; 终于 finally; 始终 all along; 终身 life-long
充		chōng	fill; 充分 chōngfèn full, ample; 充满 chōngmǎn full of
富		fù	(富有 fùyǒu) rich; 丰富 fēngfù abundant; 财富 wealth
竟		jìng	finish; (竟然) unexpectedly; 究竟 after all
获		huò	(F獲) (获得 huòdé) get, obtain; (F穫) 收获 harvest
协	協	xié	协作 xiézuò cooperate
您		nín	you (polite)
若		ruò	seem; as if; 假若 if; 若干 ruògān how much  [rě] 般若  [ré] [rè]
奇		qí	marvellous, rare, strange  [jī] odd (not even)  [ǎi] [yǐ]
占		zhān	fortune telling  [zhàn] occupy; 占领 zhànlǐng capture  [tiē]
陈	陳	chén	display; explain; stale; (dynasty: 557-589)
罗	羅	luó	(罗网) birdnet; 罗马 Rome; 罗盘 compass  [luō]
负	負	fù	carry on shoulder; suffer; negative
阿		ā	阿拉伯 Arab  [ē] 阿弥陀佛 merciful Buddha  [ě] [ǎ] [à]
错	錯	cuò	(错误 cuòwù) mistake
夏		xià	(夏天 xiàtiān) summer; 春夏秋冬 chūnxiàqiūdōng  [jiǎ]
策		cè	plan; 政策 zhèngcè policy
差		chà	differ; wrong  [chā] 差别 difference  [chāi] 出差  [cī] [cuō] [chài] [jiē]
歌		gē	song
痛		tòng	painful; 痛苦 tòngkǔ suffering; 痛快 tòngkuai delighted
板		bǎn	board; hard; (F闆) 老板 lǎobǎn shopkeeper
州		zhōu	prefecture; 广州 Guǎngzhōu Canton
皮		pí	(皮肤 pífū) skin
源		yuán	(来源 láiyuán) source, origin; 资源 zīyuán resources
吸		xī	inhale; 呼吸 breathe; 吸收 absorb; 吸引 attract
汽		qì	vapor, steam; 汽油 qìyóu gasoline; 汽车 qìchē car  [gài] [yǐ]
密		mì	thick, dense
财	財	cái	wealth; 发财 get rich
亮		liàng	shine  [liáng]
企		qǐ	企业 qǐyè enterprise; 企图 qǐtú attempt; 企鹅 penguin
笔	筆	bǐ	writing implement; 毛笔 brush; 钢笔 pen; 铅笔 pencil
营	營	yíng	camp; 营火 campfire; 营业 do business
养	養	yǎng	raise, nourish; 营养 yíngyǎng nutrition
园	園	yuán	(花园 huāyuán) garden; (公园 gōngyuán) park  [wán]
脸	臉	liǎn	face
换	換	huàn	change, exchange
景		jǐng	scene, scenery  [yǐng]
烈		liè	(强烈 qiángliè) intense; 热烈 ardent; 烈士 martyr
央		yāng	entreat; center; 中央 central; 央求 beg, plead  [yīng]
座		zuò	(座位 zuòwèi) seat; (measure word for mountains etc.)
副		fù	assist; vice-; 副词 fùcí adverb  [pì]
察		chá	观察 guānchá observe; 警察 jǐngchá police  [cuì]
顾	顧	gù	(照顾 zhàogu) look after; 顾客 gùkè customer
境		jìng	border, territory; 环境 huánjìng environment
阶	階	jiē	(台阶) steps; 阶级 class; 军阶 rank; 阶段 phase
唱		chàng	sing; 唱歌
纸	紙	zhǐ	paper; 报纸 bàozhǐ newspaper
店		diàn	(商店 shāngdiàn) store, shop; 饭店 fàndiàn restaurant
编	編	biān	weave; organize; (编辑 biānjí) edit
跑		pǎo	run  [páo] paw the earth  [bó]
余		yú	I, me; (F餘) left-over, extra; 其余 the rest; 余弦 cosine  [tú] [xú] [yù]
括		kuò	包括 bāokuò include; 概括 gàikuò generalize  [guā]
惊	驚	jīng	surprise  [liáng]
激		jī	surge, dash; (激动 jīdòng) excite; 激烈 jīliè intense  [jiào] [jiāo]
田		tián	field; 田野 tiányě open country
订	訂	dìng	conclude (cf 定)
适	適	shì	合适 héshì suitable, appropriate   [dí] [kuò]
假		jiǎ	false  [jià] (假期 jiàqī) vacation  [jie] [xià] [xiá] [gé]
构	構	gòu	结构 jiégòu structure; 构成 constitute; 构造 gòuzào structure
