	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
需	xū	need, require, must	雨 173.6	14	3	3095	408
花	huā	flower; blossoms	艸 140.4	7	3	665	410
城	chéng	castle; city, town; municipality	土 32.7	9	3	1373	413
级	jí	level, rank, class; grade	糸 120.3	6	3	594	415
复	fù	return; repeat; repeatedly	夊 35.6	9	3	1553	426
满	mǎn	fill; full, satisfied	水 85.10	13	3	3005	436
越	yuè	exceed, go beyond; the more ...	走 156.5	12	3	2514	440
容	róng	looks, appearance; figure, form	宀 40.7	10	3	2105	442
照	zhào	shine, illumine, reflect	火 86.9	13	3	2911	443
须	xū	must, have to, necessary	彡 59.6	9	3	1585	444
包	bāo	wrap, pack, bundle; package	勹 20.3	5	3	298	454
片	piàn	slice, splinter, strip; rad. 91	片 91.0	4	3	130	455
史	shǐ	history, chronicle, annals	口 30.2	5	3	248	456
乎	hū	interrogative or exclamatory final particle	丿 4.4	5	3	280	458
查	chá	investigate, examine, seek into	木 75.5	9	3	1431	459
轻	qīng	light; easy, simple; gentle	車 159.5	9	3	1463	460
易	yì	change; easy	日 72.4	8	3	1088	461
除	chú	eliminate, remove, except	阜 170.7	9	3	1732	464
阿	ā		阜 170.5	7	3	913	471
李	lǐ	plum; judge; surname	木 75.3	7	3	688	472
图	tú	diagram; chart, map, picture	囗 31.5	8	3	1119	476
历	lì	history; calendar	厂 27.2	4	3	95	480
突	tū	suddenly, abruptly, unexpectedly	穴 116.4	9	3	1700	484
周	zhōu	Zhou dynasty; circumference	口 30.5	8	3	1192	490
较	jiào	compare; comparatively, more	車 159.6	10	3	1876	491
注	zhù	concentrate, focus, direct	水 85.5	8	3	1252	492
选	xuǎn	choose, select; elect; election	辵 162.6	9	3	1545	499
响	xiǎng	make sound, make noise; sound	口 30.6	9	3	1509	503
参	cān	take part in, intervene; ginseng	厶 28.6	8	3	1334	507
半	bàn	half	十 24.3	5	3	307	513
节	jié	knot, node, joint; section	艸 140.2	5	3	209	514
护	hù	protect, guard, defend, shelter	手 64.4	7	3	649	529
音	yīn	sound, tone, pitch, pronunciation	音 180.0	9	3	1632	540
跟	gēn	heel; to follow, accompany; with	足 157.6	13	3	2920	541
留	liú	stop, halt; stay, detain, keep	田 102.5	10	3	2009	554
讲	jiǎng	explain; discuss; talk	言 149.4	6	3	550	555
料	liào	consider, conjecture; materials, ingredients	斗 68.6	10	3	2054	557
终	zhōng	end; finally, in the end	糸 120.5	8	3	1344	558
答	dá	answer, reply; return; assent to	竹 118.6	12	3	2687	559
黄	huáng	yellow; surname	黃 201.0	11	3	2201	561
奇	qí	strange, unusual, uncanny, occult	大 37.5	8	3	1050	563
段	duàn	section, piece, division	殳 79.5	9	3	1555	567
故	gù	ancient, old; reason, because	攴 66.5	9	3	1418	572
河	hé	river; stream; yellow river	水 85.5	8	3	1244	574
害	hài	injure, harm; destroy, kill	宀 40.7	10	3	2097	579
双	shuāng	set of two, pair, couple; both	又 29.2	4	3	187	581
境	jìng	boundary, frontier; area, region	土 32.11	14	3	3061	582
愿	yuàn	sincere, honest, virtuous	心 61.10	14	3	3094	598
网	wǎng	net; network; KangXi radical 122	网 122.0	6	3	442	605
育	yù	produce, give birth to; educate	肉 130.4	8	3	1225	609
船	chuán	ship, boat, vessel	舟 137.5	11	3	2345	614
脸	liǎn	face; cheek; reputation	肉 130.7	11	3	2359	615
刻	kè	carve, engrave; quarter hour	刀 18.6	8	3	1224	618
刚	gāng	hard, tough, rigid, strong	刀 18.4	6	3	441	621
般	bān	sort, manner, kind, category	舟 137.4	10	3	1980	629
怕	pà	to fear, be afraid of; apprehensive	心 61.5	8	3	1269	631
假	jiǎ	falsehood, deception; vacation	人 9.9	11	3	2337	636
久	jiǔ	long time (ago); time passage, grow late	丿 4.2	3	3	47	637
拿	ná	take, hold, grasp; bring; with	手 64.6	10	3	1983	645
阳	yáng		阜 170.4	6	3	572	650
急	jí	quick, quickly; urgent, pressing	心 61.5	9	3	1609	657
居	jū	live, dwell, reside, sit	尸 44.5	8	3	1308	678
环	huán	jade ring or bracelet; ring	玉 96.4	8	3	945	681
树	shù	tree; plant; set up, establish	木 75.5	9	3	1439	697
层	céng	storey, layer, floor, stratum	尸 44.4	7	3	902	699
句	jù	sentence	口 30.2	5	3	288	707
简	jiǎn	simple, terse, succinct, a letter	竹 118.7	13	3	2954	716
卡	kǎ	card, punch card; calorie	卜 25.3	5	3	226	717
担	dān	carry, bear, undertake	手 64.5	8	3	963	720
静	jìng	quiet, still, motionless; gentle	青 174.6	14	3	3049	722
检	jiǎn	check; examine	木 75.7	11	3	2227	731
差	chà	to differ; different, wrong; nearly, almost; an officer	工 48.7	9	3	1640	732
角	jiǎo	horn; angle, corner; point	角 148.0	7	3	814	736
皮	pí	skin, hide, fur, feather; outer	皮 107.0	5	3	336	741
啊	a	exclamatory particle	口 30.8	10	3	1915	753
超	chāo	jump over, leap over; surpass	走 156.5	12	3	2517	754
银	yín	silver; cash, money, wealth	金 167.6	11	3	2309	757
怪	guài	strange, unusual, peculiar	心 61.5	8	3	1271	775
香	xiāng	fragrant, sweet smelling, incense	香 186.0	9	3	1548	776
铁	tiě	iron; strong, solid, firm	金 167.5	10	3	1932	779
草	cǎo	grass, straw, thatch, herbs	艸 140.6	9	3	1408	789
脚	jiǎo	leg, foot; base, leg, foundation	肉 130.7	11	3	2355	790
酒	jiǔ	wine, spirits, liquor, alcoholic beverage	酉 164.3	10	3	2069	797
顾	gù	look back; look at; look after	頁 181.4	10	3	1874	815
换	huàn	change	手 64.7	10	3	1806	824
闻	wén	hear; smell; make known; news	門 169.6	9	3	1636	825
坏	huài	rotten, spoilt, bad, broken down	土 32.4	7	3	616	832
楚	chǔ	name of feudal state; clear	木 75.9	13	3	2864	859
楼	lóu	building of two or more stories	木 75.9	13	3	2870	876
画	huà	a painting, picture, drawing; to draw	田 102.3	8	3	1036	883
耳	ěr	ear; merely, only; handle	耳 128.0	6	3	369	887
短	duǎn	short; brief; deficient, lacking	矢 111.7	12	3	2669	889
遇	yù	meet, come across, encounter	辵 162.9	12	3	2622	899
康	kāng	peaceful, quiet; happy, healthy	广 53.8	11	3	2385	900
旧	jiù	old, ancient; former, past	日 72.1	5	3	232	915
春	chūn	spring; wanton	日 72.5	9	3	1355	921
附	fù	adhere to, append; rely on near to	阜 170.5	7	3	916	923
礼	lǐ	social custom; manners; courtesy	示 113.1	5	3	318	926
板	bǎn	plank, board; iron or tin plate	木 75.4	8	3	1025	930
婚	hūn	get married; marriage, wedding	女 38.8	11	3	2481	942
鲜	xiān	fresh; delicious; attractive	魚 195.6	14	3	3135	958
词	cí	words; phrase, expression	言 149.5	7	3	897	959
择	zé	select, choose, pick out	手 64.5	8	3	992	961
健	jiàn	strong, robust, healthy; strength	人 9.9	10	3	1969	979
借	jiè	borrow; lend; make pretext of	人 9.8	10	3	1955	984
园	yuán	garden; park, orchard	囗 31.4	7	3	726	988
牙	yá	tooth, molars, teeth; serrated	牙 92.0	4	3	102	997
束	shù	bind, control, restrain; bale	木 75.3	7	3	694	998
练	liàn	to practice, drill, exercise, train	糸 120.5	8	3	1337	1005
爷	yé	father, grandfather	父 88.2	6	3	492	1007
嘴	zuǐ	mouth, lips	口 30.12	16	3	3342	1010
戏	xì	theatrical play, show	戈 62.2	6	3	584	1033
典	diǎn	law, canon; documentation; classic, scripture	八 12.6	8	3	1092	1044
盘	pán	tray, plate, dish; examine	皿 108.6	11	3	2343	1049
忘	wàng	forget; neglect; miss, omit	心 61.3	7	3	844	1056
赛	sài	compete, contend; contest, race	宀 40.11	14	3	3172	1064
趣	qù		走 156.8	15	3	3194	1065
迎	yíng	receive, welcome, greet	辵 162.4	7	3	822	1069
冰	bīng	ice; ice-cold	冫 15.4	6	3	513	1070
努	nǔ	to exert, strive, make an effort; to pout	力 19.5	7	3	924	1081
绿	lǜ	green; chlorine	糸 120.8	11	3	2498	1088
街	jiē	street, road, thoroughfare	行 144.6	12	3	2702	1101
灯	dēng	lantern, lamp	火 86.2	6	3	534	1115
夏	xià	summer; great, grand, big	夊 35.7	10	3	1862	1126
秋	qiū	autumn, fall; year	禾 115.4	9	3	1550	1151
末	mò	final, last, end; insignificant	木 75.1	5	3	193	1164
蓝	lán	blue; indigo plant; surname	艸 140.10	13	3	2852	1190
烧	shāo	burn; bake; heat; roast	火 86.6	10	3	2060	1201
哭	kū	weep, cry, wail	口 30.7	10	3	1907	1210
冒	mào	risk, brave, dare	冂 13.7	9	3	1486	1222
惯	guàn	habit, custom; habitually, usual	心 61.8	11	3	2450	1226
鸟	niǎo	bird; KangXi radical 196	鳥 196.0	5	3	296	1263
季	jì	quarter of year; season; surname	子 39.5	8	3	1132	1279
鼻	bí	nose; first; KangXi radical 209	鼻 209.0	14	3	3128	1335
腿	tuǐ	legs, thighs	肉 130.10	13	3	2976	1351
迟	chí	late, tardy; slow; delay	辵 162.4	7	3	906	1374
辆	liàng	numerary adjunct for vehicles	車 159.7	11	3	2251	1375
净	jìng	clean, pure; cleanse	冫 15.6	8	3	1221	1377
冬	dōng	winter, 11th lunar month	冫 15.3	5	3	295	1384
骑	qí	ride horseback; mount; cavalry	馬 187.8	11	3	2489	1398
叔	shū		又 29.6	8	3	1065	1422
爬	pá	crawl, creep; climb; scramble	爪 87.4	8	3	1161	1426
扫	sǎo	sweep, clear away; exterminate	手 64.3	6	3	365	1435
箱	xiāng	case, box, chest, trunk	竹 118.9	15	3	3265	1453
舒	shū	open up, unfold, stretch out; comfortable, easy	舌 135.6	12	3	2707	1459
绩	jī	spin; achievements	糸 120.8	11	3	2486	1547
饮	yǐn	drink; swallow; kind of drink	食 184.4	7	3	824	1569
朵	duǒ	cluster of flowers; earlobe	木 75.2	6	3	497	1571
鞋	xié	shoes, footwear in general	革 177.6	15	3	3207	1638
邮	yóu	postal, mail; post office	邑 163.5	7	3	732	1652
邻	lín	neighbor; neighborhood	邑 163.5	7	3	801	1659
聪	cōng	intelligent, clever, bright	耳 128.9	15	3	3206	1669
梯	tī	ladder, steps, stairs; lean	木 75.7	11	3	2229	1672
瓶	píng	jug, pitcher, vase, jar, bottle	瓦 98.6	10	3	2051	1703
疼	téng	aches, pains; be fond of; love	疒 104.5	10	3	2031	1710
熊	xióng	a bear; brilliant; bright; surname	火 86.10	14	3	3185	1741
帽	mào	hat, cap; cap-like tops	巾 50.9	12	3	2649	1750
炼	liàn	smelt, refine; distill, condense	火 86.5	9	3	1655	1763
搬	bān	transfer, move, remove, shift	手 64.10	13	3	2840	1766
刷	shuā	brush; clean with brush, scrub	刀 18.6	8	3	1310	1824
瘦	shòu	thin, emaciated, lean; meager	疒 104.10	14	3	3147	1841
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	斤 69.0	4	3	137	1866
胖	pàng	fat, obese; fatty	肉 130.5	9	3	1596	1893
饿	è	hungry; greedy for; hunger	食 184.7	10	3	2012	1911
聊	liáo	somewhat, slightly, at least	耳 128.5	11	3	2196	1932
碗	wǎn	bowl, small dish	石 112.8	13	3	2881	1939
渴	kě	thirsty, parched; yearn, pine	水 85.9	12	3	2758	1972
饱	bǎo		食 184.5	8	3	1202	1998
甜	tián	sweet, sweetness	甘 99.6	11	3	2311	2020
矮	ǎi	short, dwarf; low	矢 111.8	13	3	2946	2027
裤	kù	trousers, pants	衣 145.7	12	3	2791	2090
衫	shān	shirt; robe; gown; jacket	衣 145.3	8	3	1293	2153
伞	sǎn	umbrella, parasol, parachute	人 9.4	6	3	493	2202
姨	yí		女 38.6	9	3	1737	2287
刮	guā	shave, pare off, scrape	刀 18.6	8	3	1129	2350
糕	gāo	cakes, pastry	米 119.10	16	3	3375	2413
裙	qún	skirt, apron, petticoat	衣 145.7	12	3	2792	2431
衬	chèn	underwear; inner garments	衣 145.3	8	3	1292	2502
锻	duàn	forge metal; temper, refine	金 167.9	14	3	3114	2531
澡	zǎo	wash, bathe	水 85.13	16	3	3378	2695
啤	pí	beer	口 30.8	11	3	2289	2849
蕉	jiāo	banana; plantain	艸 140.12	15	3	3209	3104
筷	kuài	chopsticks	竹 118.7	13	3	2955	3110
之	zhī	marks preceding phrase as modifier of following phrase; it, him her, them; go to	丿 4.3	3	4	58	44
部	bù	part, division, section	邑 163.8	10	4	2044	84
无	wú	negative, no, not; KangXi radical 71	无 71.0	4	4	81	105
与	yǔ	and; with; to; for; give, grant	一 1.3	3	4	34	108
民	mín	people, subjects, citizens	氏 83.1	5	4	327	113
此	cǐ	this, these; in this case, then	止 77.2	6	4	411	116
使	shǐ	cause, send on a mission, order; envoy, messenger, ambassador	人 9.6	8	4	1139	119
性	xìng	nature, character, sex	心 61.5	8	4	1268	122
全	quán	maintain, keep whole or intact	入 11.4	6	4	485	124
将	jiāng	will, going to, future; general	爿 90.6	9	4	1617	132
由	yóu	cause, reason; from	田 102.0	5	4	245	136
并	bìng		干 51.5	6	4	531	141
美	měi	beautiful, pretty; pleasing	羊 123.3	9	4	1642	151
利	lì	gains, advantage, profit, merit	刀 18.5	7	4	763	155
合	hé	combine, unite, join; gather	口 30.3	6	4	488	171
内	nèi	inside	入 11.2	4	4	116	175
度	dù	degree, system; manner; to consider	广 53.6	9	4	1622	184
任	rèn	trust to, rely on, appoint; to bear, duty, office; allow	人 9.4	6	4	467	186
海	hǎi	sea, ocean; maritime	水 85.7	10	4	2074	189
通	tōng	pass through, common, communicate	辵 162.7	10	4	2145	190
原	yuán	source, origin, beginning	厂 27.8	10	4	1868	193
及	jí	extend; reach; come up to; and	又 29.2	3	4	52	198
论	lùn	debate; discuss; discourse	言 149.4	6	4	556	205
处	chù	place, locale; department	夂 34.2	5	4	294	206
各	gè	each, individually, every, all	口 30.3	6	4	506	209
入	rù	enter, come in(to), join	入 11.0	2	4	11	210
活	huó	live, exist, survive; lively	水 85.6	9	4	1672	219
尔	ěr	you; that, those; final particle	小 42.2	5	4	286	220
何	hé	what, why, where, which, how	人 9.5	7	4	771	229
反	fǎn	reverse, opposite, contrary, anti	又 29.2	4	4	139	237
受	shòu	receive, accept, get; bear, stand	又 29.6	8	4	1174	238
量	liàng	measure, quantity, capacity	里 166.5	12	4	2616	241
建	jiàn	build, establish, erect, found	廴 54.6	8	4	1302	244
计	jì	plan, plot; strategem; scheme	言 149.2	4	4	168	251
管	guǎn	pipe, tube, duct; woodwind music	竹 118.8	14	4	3123	252
资	zī	property; wealth; capital	貝 154.6	10	4	2039	257
命	mìng	life; destiny, fate, luck; an order, instruction	口 30.5	8	4	1168	258
金	jīn	gold; metals in general; money	金 167.0	8	4	1166	260
指	zhǐ	finger, toe; point, indicate	手 64.6	9	4	1389	261
克	kè	gram; overcome; transliteration	儿 10.5	7	4	675	262
许	xǔ	allow, permit; promise; betroth	言 149.4	6	4	554	263
区	qū	area, district, region, ward	匸 23.2	4	4	94	265
保	bǎo	protect, safeguard, defend, care	人 9.7	9	4	1562	266
至	zhì	reach, arrive; extremely, very	至 133.0	6	4	410	267
队	duì	team, group; army unit	阜 170.2	4	4	180	268
社	shè	god of the soil and altars to him; group of families; company, society	示 113.3	7	4	890	270
展	zhǎn	open, unfold; stretch, extend	尸 44.7	10	4	2131	275
科	kē	section, department, science	禾 115.4	9	4	1551	277
基	jī	foundation, base	土 32.8	11	4	2193	280
则	zé	rule, law, regulation; grades	刀 18.4	6	4	440	284
却	què	still, but; decline; retreat	卩 26.5	7	4	658	287
光	guāng	light, brilliant, shine; only	儿 10.4	6	4	417	290
即	jí	promptly, quickly, immediately	卩 26.5	7	4	901	293
象	xiàng	elephant; ivory; figure, image	豕 152.5	11	4	2361	300
式	shì	style, system, formula, rule	弋 56.3	6	4	349	303
程	chéng	journey, trip; schedule, agenda	禾 115.7	12	4	2677	314
死	sǐ	die; dead; death	歹 78.2	6	4	400	317
交	jiāo	mix; intersect; exchange, communicate; deliver	亠 8.4	6	4	519	320
规	guī	rules, regulations, customs, law	見 147.4	8	4	952	321
取	qǔ	take, receive, obtain; select	又 29.6	8	4	997	323
拉	lā	pull, drag; seize, hold; lengthen	手 64.5	8	4	981	324
格	gé	pattern, standard, form; style	木 75.6	10	4	1845	325
术	shù	art, skill, special feat; method, technique	木 75.1	5	4	211	328
确	què	sure, certain; real, true	石 112.7	12	4	2591	331
传	chuán	summon; propagate, transmit	人 9.4	6	4	455	332
观	guān	see, observe, view; appearance	見 147.2	6	4	586	334
切	qiè	cut, mince, slice, carve	刀 18.2	4	4	107	337
导	dǎo	direct, guide, lead, conduct	寸 41.3	6	4	567	343
争	zhēng	dispute, fight, contend, strive	亅 6.5	6	4	508	344
改	gǎi	change, alter; improve, remodel	攴 66.3	7	4	908	350
收	shōu	gather together, collect; harvest	攴 66.2	6	4	573	351
言	yán	words, speech; speak, say	言 149.0	7	4	826	355
联	lián	connect, join; associate, ally	耳 128.6	12	4	2544	356
持	chí	sustain, support; hold, grasp	手 64.6	9	4	1367	357
济	jì	help, aid, relieve; ferry, cross	水 85.6	9	4	1678	360
亲	qīn	relatives, parents; intimate the hazel nut or filbert tree a thorny tree	立 117.4	9	4	1631	362
林	lín	forest, grove; surname	木 75.4	8	4	1018	364
士	shì	scholar, gentleman; soldier	士 33.0	3	4	28	372
证	zhèng	prove, confirm, verify; proof	言 149.5	7	4	885	373
失	shī	lose; make mistake, neglect	大 37.2	5	4	265	375
转	zhuǎn	shift, move, turn	車 159.4	8	4	1059	376
存	cún	exist, live, be; survive; remain	子 39.3	6	4	391	384
台	tái	platform; unit; term of address	口 30.2	5	4	342	388
具	jù	tool, implement; draw up, write	八 12.6	8	4	1077	391
流	liú	flow, circulate, drift; class	水 85.6	10	4	2080	396
连	lián	join, connect; continuous; even	辵 162.4	7	4	708	399
深	shēn	deep; depth; far; very, extreme	水 85.8	11	4	2432	401
质	zhì	matter, material, substance	厂 27.4	8	4	1157	404
价	jià	price, value	人 9.4	6	4	469	409
整	zhěng	orderly, neat, tidy; whole	攴 66.11	16	4	3333	416
况	kuàng	condition, situation; furthermore	冫 15.5	7	4	830	419
亚	yà	Asia; second	一 1.5	6	4	373	420
技	jì	skill, ability, talent, ingenuity	手 64.4	7	4	615	422
际	jì	border, boundary, juncture	阜 170.5	7	4	911	423
约	yuē	treaty, agreement, covenant	糸 120.3	6	4	593	424
示	shì	show, manifest; demonstrate	示 113.0	5	4	194	425
究	jiū	examine, investigate	穴 116.2	7	4	881	429
线	xiàn	line, thread, wire; clue	糸 120.5	8	4	1336	430
断	duàn	sever, cut off; interrupt	斤 69.7	11	4	2405	434
精	jīng	essence; semen; spirit	米 119.8	14	4	3153	435
支	zhī	disperse, pay; support; branch	支 65.0	4	4	89	437
消	xiāo	vanish, die out; melt away	水 85.7	10	4	2071	439
增	zēng	increase, add to, augment	土 32.12	15	4	3204	446
研	yán	grind, rub; study, research	石 112.6	9	4	1446	447
功	gōng	achievement, merit, good result	力 19.3	5	4	202	452
广	guǎng	wide, extensive, broad; rad. 53	广 53.0	3	4	53	468
标	biāo	mark, symbol, label, sign; stand the bole of a tree	木 75.5	9	4	1424	473
谈	tán	talk; conversation; surname	言 149.8	10	4	2127	474
引	yǐn	to pull, draw out, attract; to stretch	弓 57.1	4	4	176	479
首	shǒu	head; first; leader, chief; a poem	首 185.0	9	4	1651	481
局	jú	bureau, office; circumstance	尸 44.4	7	4	907	483
专	zhuān	monopolize, take sole possession	一 1.3	4	4	83	485
费	fèi	expenses, expenditures, fee	貝 154.5	9	4	1726	486
尽	jǐn	exhaust, use up; deplete	尸 44.3	6	4	566	488
另	lìng	another, separate, other	口 30.2	5	4	256	489
仅	jǐn	only, merely, solely, just	人 9.2	4	4	136	494
落	luò	fall, drop; net income, surplus	艸 140.9	12	4	2557	496
随	suí	follow, listen to, submit to	阜 170.10	11	4	2476	498
列	liè	a line; to arrange in order, classify	刀 18.4	6	4	399	500
推	tuī	push, expel; push forward	手 64.8	11	4	2174	505
众	zhòng	multitude, crowd; masses, public	人 9.4	6	4	491	510
案	àn	table, bench; legal case	木 75.6	10	4	2107	518
划	huà	to row or paddle boat; to scratch	刀 18.4	6	4	407	522
律	lǜ	statute, principle, regulation	彳 60.6	9	4	1583	526
态	tài	manner, bearing, attitude	心 61.4	8	4	1052	528
验	yàn	test, examine, inspect; verify	馬 187.7	10	4	2152	534
责	zé		貝 154.4	8	4	948	535
够	gòu	enough, adequate	夕 36.8	11	4	2362	538
章	zhāng	composition; chapter, section	立 117.6	11	4	2389	539
志	zhì	purpose, will, determination; annals	心 61.3	7	4	651	542
底	dǐ	bottom, underneath, underside	广 53.5	8	4	1212	543
严	yán	strict, rigorous, rigid; stern	一 1.6	7	4	671	545
例	lì	precedent, example; regulation	人 9.6	8	4	1140	547
族	zú	a family clan, ethnic group, tribe	方 70.7	11	4	2392	549
供	gōng	supply, provide for; offer in worship	人 9.6	8	4	1138	550
效	xiào	result, effect; effectiveness	攴 66.6	10	4	2034	551
续	xù	continue, carry on; succeed	糸 120.8	11	4	2488	552
紧	jǐn	tense, tight, taut; firm, secure	糸 120.4	10	4	1884	560
绝	jué	to cut, sever, break off, terminate	糸 120.6	9	4	1762	562
察	chá	examine, investigate; notice	宀 40.11	14	4	3174	564
母	mǔ	mother; female elders; female	毋 80.1	5	4	345	565
批	pī	comment, criticize; wholesale	手 64.4	7	4	622	569
按	àn	put hand on, press down with hand	手 64.6	9	4	1395	573
围	wéi	surround, encircle, corral	囗 31.4	7	4	728	576
江	jiāng	large river; yangzi; surname	水 85.3	6	4	538	577
纪	jì	record, annal, historical account	糸 120.3	6	4	595	584
举	jǔ	raise, lift up; recommend	丶 3.8	9	4	1693	586
父	fù	father; KangXi radical 88	父 88.0	4	4	141	589
